mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
310,410,5124,167172104,38.7590783,-77.5256709,-104,1763347825694,5.5,0.05891059,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590852,-77.5256721,-104,1763347830690,6.0,0.11499759,358.73795,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590852,-77.5256721,-104,1763347830690,6.0,0.11499759,358.73795,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-104,1763347835698,8.6,7.9483335E-4,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-104,1763347835698,8.6,7.9483335E-4,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-104,1763347840702,8.0,7.344534E-6,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-104,1763347840702,8.0,7.344534E-6,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-104,1763347845692,8.0,2.9100388E-8,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-104,1763347845692,8.0,2.9100388E-8,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-104,1763347850356,10.2,1.5770833E-10,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-104,1763347850356,10.2,1.5770833E-10,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-105,1763347855710,8.0,7.091536E-13,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-105,1763347855710,8.0,7.091536E-13,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-105,1763347860698,9.1,6.0849458E-15,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-105,1763347860698,9.1,6.0849458E-15,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-103,1763347865697,8.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-103,1763347865697,8.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-103,1763347870694,8.5,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-103,1763347870694,8.5,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-103,1763347875699,10.9,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-103,1763347875699,10.9,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-102,1763347880705,8.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-102,1763347880705,8.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-100,1763347885703,9.8,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-100,1763347885703,9.8,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-100,1763347890698,9.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-100,1763347890698,9.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-100,1763347895695,8.4,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-100,1763347895695,8.4,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-100,1763347900721,8.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-100,1763347900721,8.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-100,1763347905695,8.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-100,1763347905695,8.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-100,1763347910687,8.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-100,1763347910687,8.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-104,1763347915379,10.3,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-104,1763347915379,10.3,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-104,1763347920692,8.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-104,1763347920692,8.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-106,1763347925704,9.6,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-106,1763347925704,9.6,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-106,1763347930700,8.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-106,1763347930700,8.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-106,1763347935693,8.5,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-106,1763347935693,8.5,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-106,1763347940693,10.5,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-106,1763347940693,10.5,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347945699,6.8,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347945699,6.8,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347950698,7.7,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347950698,7.7,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347955699,6.9,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347955699,6.9,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347960690,6.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347960690,6.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347965697,6.1,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347965697,6.1,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347970699,8.4,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347970699,8.4,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347975700,6.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347975700,6.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347980689,7.5,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347980689,7.5,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347985697,6.9,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347985697,6.9,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347990693,6.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347990693,6.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347995701,6.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763347995701,6.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763348000376,8.3,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763348000376,8.3,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763348005683,7.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763348005683,7.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763348010695,9.5,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763348010695,9.5,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763348015698,6.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763348015698,6.0,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763348020697,6.6,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763348020697,6.6,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763348025707,7.2,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763348025707,7.2,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-108,1763348030694,6.7,6.534104E-16,-2000.0,LTE,20,,5124,330,,,
